Movie;IMDb ID;IMDb Rating;Gross Revenue;Budget;Net Profit
The Black Rose;0042256;6.3;;;
The Black Stallion;0078872;7.4;37799643;2700000;35099643
Black Sunday;0075765;6.8;15769322;;
Blackboard Jungle;0047885;7.4;;;
Blackbeard's Ghost;0062737;6.8;21540050;;
Robot Chicken;0437745;7.8;;;
Blaze of Noon;0039196;6.3;;;
Bleak House;0442632;8.6;;;
Bless the Beasts & Children;0068286;6.7;;;
Bless the Child;0163983;5.0;29374178;40000000;-10625822
Count Your Blessings;0052706;4.8;;;
Blood and Chocolate;0397044;5.5;3517928;;
Broken Arrow;0115759;6.0;150270147;50000000;100270147
Cop;0092783;6.4;1884315;2500000;-615685
Cop;0092783;6.4;1884315;2500000;-615685
The Blood Oranges;0118743;4.4;;;
Blood Work;0309377;6.4;26199517;50000000;-23800483
Blue Fin;0077249;6.0;;;
The Blue Lagoon;0080453;5.7;58853106;4500000;54353106
Blueprint;0321473;5.7;;;
Stand by Me;0092005;8.1;52287414;8000000;44287414
Al Ijtiyah;4027618;8.8;;;
Bombaiyer Bombete;0457805;7.1;;;
The Bonfire of the Vanities;0099165;5.4;15691192;47000000;-31308808
Bonjour tristesse;0051429;7.0;;;
Boogiepop and Others;;;;;
Daniel;0085398;6.6;276814;;
Das Boot;0082096;8.4;84970337;14000000;70970337
Man of the West;0051899;7.3;;;
The Border Legion;0032274;6.7;;;
Bordertown;3323254;;;;
Kari-gurashi no Arietti;1568921;7.7;145570827;;
The Bostonians;0086992;6.3;1009700;;
The Bourne Identity;0258463;7.9;214034224;60000000;154034224
The Bourne Supremacy;0372183;7.8;288500217;75000000;213500217
The Bourne Ultimatum;0440963;8.1;442824138;110000000;332824138
The Bourne Legacy;1194173;6.7;276144750;125000000;151144750
The Boy in the Striped Pyjamas;0914798;7.8;9030581;12500000;-3469419
Boy on a Dolphin;0050208;6.3;;;
The Boys from Brazil;0077269;7.0;19000000;12000000;7000000
The Bravados;0051433;7.0;;;
The Brave Bulls;0043359;6.9;;;
Lonely Are the Brave;0056195;7.7;;;
The Brave Little Toaster;0092695;7.3;;2300000;
