Book,Movie,IMDb ID,IMDb Rating,Gross Revenue,Budget,Net Profit
Fail-Safe,Fail-Safe,tt0058083,8,,,
La Femme et le pantin,Cet obscur objet du désir,tt0075824,8,55261,,
Hopalong Cassidy,Hopalong Cassidy,tt0041030,8,,,
"Horseman, Pass By",Hud,tt0057163,8,,2500000,
Rumer Godden,In This House of Brede,tt0073160,8,,,
The Iron Man (Ted Hughes),The Iron Giant,tt0129167,8,80000000,48000000,32000000
Journal d'un curé de campagne,Journal d'un curé de campagne,tt0042619,8,,,
Let the Right One In,Låt den rätte komma in,tt1139797,8,7282007,4000000,3282007
Manon des Sources,Manon des sources,tt0091480,8,3940542,,
Les Miserables,Les misérables,tt0025509,8,,,
Mystic River,Mystic River,tt0327056,8,156822020,30000000,126822020
Night and the City,Night and the City,tt0042788,8,,,
La Planete des singes,Planet of the Apes,tt0063442,8,33395426,5800000,27595426
Rosemary's Baby,Rosemary's Baby,tt0063522,8,33395426,2300000,31095426
The Searchers (Alan Le May),The Searchers,tt0049730,8,,3750000,
Stella Dallas,Stella,tt1864017,8,,,
To Have and Have Not,To Have and Have Not,tt0037382,8,,,
The Wheel Spins,The Lady Vanishes,tt0030341,8,,,
The Adventures of Pinocchio,Priklyucheniya Buratino,tt0073570,7.9,,,
The African Queen,The African Queen,tt0043265,7.9,10750000,,
After Hours 1979,Carlito's Way,tt0106519,7.9,63848322,30000000,33848322
All You Need Is Kill,Edge of Tomorrow,tt1631867,7.9,369206256,178000000,191206256
Anna Karenina,Amour,tt1602620,7.9,29844753,8900000,20944753
The Antagonists,Masada,tt0081900,7.9,,,
The Asphalt Jungle,The Asphalt Jungle,tt0042208,7.9,,,
Beau Geste,Beau Geste,tt0031088,7.9,,,
The Black Arrow: A Tale of the Two Roses,Black Arrow,tt0088813,7.9,,,
The Bourne Identity,The Bourne Identity,tt0258463,7.9,214034224,60000000,154034224
The Caine Mutiny,The Caine Mutiny,tt0046816,7.9,,2000000,
Carlito's Way,Carlito's Way,tt0106519,7.9,63848322,30000000,33848322
The Children of Men,Children of Men,tt0206634,7.9,68327768,76000000,-7672232
"Crouching Tiger, Hidden Dragon",Wo hu cang long,tt0190332,7.9,213525736,15000000,198525736
The Deluge (Henryk Sienkiewicz),Potop,tt0072021,7.9,,,
Elmer Gantry,Elmer Gantry,tt0053793,7.9,11336000,3000000,8336000
The Fixer,Scandal,tt1837576,7.9,,,
The Ghost and Mrs. Muir,The Ghost and Mrs. Muir,tt0039420,7.9,,,
The Girl Who Leapt Through Time,Toki o kakeru shôjo,tt0808506,7.9,,,
"The Golden Key, or the Adventures of Buratino",Priklyucheniya Buratino,tt0073570,7.9,,,
"The History of Tom Jones, a Foundling","The History of Tom Jones, a Foundling",tt0123351,7.9,,,
The Hobbit,The Hobbit: An Unexpected Journey,tt0903624,7.9,1021103568,180000000,841103568
Jupiter Laughs,Ich suche dich,tt0045903,7.9,,,
Lay This Laurel,Glory,tt0097441,7.9,26830000,18000000,8830000
Letter to Five Wives,A Letter to Three Wives,tt0041587,7.9,,,
McTeague,Greed,tt0015881,7.9,,546883,
Moby-Dick,Tom and Jerry,tt0008688,7.9,,,
The Notebook (Nicholas Sparks),The Notebook,tt0332280,7.9,116072707,29000000,87072707
One Gallant Rush,Glory,tt0097441,7.9,26830000,18000000,8830000
QB VII,QB VII,tt0071039,7.9,,,
The Rebel Outlaw: Josey Wales,The Outlaw Josey Wales,tt0075029,7.9,38000000,3700000,34300000
The Remains of the Day,The Remains of the Day,tt0107943,7.9,22954968,11500000,11454968
Spartacus,Spartacus,tt0054331,7.9,60000000,12000000,48000000
A Tale of Two Cities,A Tale of Two Cities,tt0027075,7.9,,,
"They Shoot Horses, Don't They?","They Shoot Horses, Don't They?",tt0065088,7.9,,,
The Trial,Le procès,tt0057427,7.9,,,
The Wind in the Willows,The Willows in Winter,tt0286309,7.9,,,
Advise and Consent,Advise & Consent,tt0055728,7.8,,,
An American Tragedy,A Place in the Sun,tt0043924,7.8,,2295304,
Atonement,Atonement,tt0783233,7.8,129266061,30000000,99266061
Beer and Blood: The Story of a Couple o' Wrong Guys,The Public Enemy,tt0022286,7.8,,,
The Beginning and the End,Bidaya wa nihaya,tt0053652,7.8,,,
The Blank Wall,Robot Chicken,tt0437745,7.8,,,
The Bourne Supremacy,The Bourne Supremacy,tt0372183,7.8,288500217,75000000,213500217
The Boy in the Striped Pyjamas,The Boy in the Striped Pyjamas,tt0914798,7.8,9030581,12500000,-3469419
Captain Blood: His Odyssey,Captain Blood,tt0026174,7.8,,1200000,
Charlie and the Chocolate Factory,Willy Wonka & the Chocolate Factory,tt0067992,7.8,4000000,3000000,1000000
The Color Purple,The Color Purple,tt0088939,7.8,146292009,15000000,131292009
Cycle of the Werewolf,Skyfall,tt1074638,7.8,1108561013,200000000,908561013
The Daybreakers (Louis L'Amour),The Sacketts,tt0079840,7.8,,,
Deliverance (James Dickey),Deliverance,tt0068473,7.8,46122355,2000000,44122355
Destry Rides Again (Max Brand),Destry Rides Again,tt0031225,7.8,,,
The Devils of Loudun (Aldous Huxley),The Devils,tt0066993,7.8,,,
The Dirty Dozen (E. M. Nathanson),The Dirty Dozen,tt0061578,7.8,45300000,,
The Dragon and the George,The Flight of Dragons,tt0083951,7.8,,,
Empire of the Sun,Empire of the Sun,tt0092965,7.8,66700000,35000000,31700000
Fantastic Mr Fox,Fantastic Mr. Fox,tt0432283,7.8,46471023,40000000,6471023
From Here to Eternity,From Here to Eternity,tt0045793,7.8,30500000,1650000,28850000
Gnomes (Wil Huygen and Rien Poortvliet),Gnomes,tt0343727,7.8,,,
Goldfinger,Goldfinger,tt0058150,7.8,124900000,3000000,121900000
The Good Earth (Pearl S. Buck),The Good Earth,tt0028944,7.8,,2800000,
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,tt0304141,7.8,796688549,130000000,666688549
How Green Was My Valley,How Green Was My Valley,tt0033729,7.8,6000000,1250000,4750000
