Book;Movie;IMDb ID;IMDb Rating;Gross Revenue;Budget;Net Profit
Billion-Dollar Brain;Billion Dollar Brain;tt0061405;6.1;;;
Billy Bathgate;Billy Bathgate;tt0101453;5.9;15965919;48000000;-32034081
Billy Liar;Billy Liar;tt0056868;7.5;35609;;
Birdy;Birdy;tt0086969;7.3;1455045;;
The Bishop's Wife;The Bishop's Wife;tt0039190;7.6;;;
Biruma no tategoto;Biruma no tategoto;tt0049012;8.1;;;
The Biscuit Eater;The Biscuit Eater;tt0068276;5.9;;;
The Bitch;Tart;tt0203975;4.7;;3300000;
Bitter Moon;Bitter Moon;tt0104779;7.1;1862805;5000000;-3137195
The Bitter Tea of General Yen;The Bitter Tea of General Yen;tt0023814;7.1;;;
Black Alibi;The Leopard Man;tt0036104;6.9;;;
The Black Angel;Senso '45;tt0267261;5.1;;;
The Black Arrow: A Tale of the Two Roses;Black Arrow;tt0088813;7.9;;;
Black Beauty;Black Beauty;tt0109279;6.6;4630377;;
The Black Camel;The Black Camel;tt0021668;7.2;;;
The Black Curtain;Street of Chance;tt0035388;6.4;;;
The Black Dahlia;The Black Dahlia;tt0387877;5.6;22518325;50000000;-27481675
Black Narcissus;Black Narcissus;tt0039192;8.0;;;
The Black Path of Fear;The Chase;tt0109402;5.7;8009329;;
The Black Rose;The Black Rose;tt0042256;6.3;;;
The Black Stallion;The Black Stallion;tt0078872;7.4;37799643;2700000;35099643
Black Sunday;Black Sunday;tt0075765;6.8;15769322;;
The Blackboard Jungle;Blackboard Jungle;tt0047885;7.4;;;
Blackbeard's Ghost;Blackbeard's Ghost;tt0062737;6.8;21540050;;
The Blank Wall;Robot Chicken;tt0437745;7.8;;;
Blaze of Noon;Blaze of Noon;tt0039196;6.3;;;
Bleak House;Bleak House;tt0442632;8.6;;;
Bless the Beasts and Children;Bless the Beasts & Children;tt0068286;6.7;;;
