Book;Movie;IMDb ID;IMDb Rating;Gross Revenue;Budget;Net Profit
Frankenstein (Mary Shelley);Young Frankenstein;tt0072431;8.1;86300000;2800000;83500000
Freaky Friday;Freaky Friday;tt0322330;6.1;160846332;26000000;134846332
Freedomland;Freedomland;tt0349467;5.1;12512886;37665000;-25152114
Fried Green Tomatoes at the Whistle Stop Cafe;Fried Green Tomatoes;tt0101921;7.6;119418501;11000000;108418501
The Friendly Persuasion;Friendly Persuasion;tt0049233;7.5;8000000;3000000;5000000
From Here to Eternity;From Here to Eternity;tt0045793;7.8;30500000;1650000;28850000
From Russia, with Love;From Russia with Love;tt0057076;7.5;78900000;2000000;76900000
Funny Farm;Funny Farm;tt0095188;6.1;25537221;19000000;6537221
The Fury (John Farris);The Fury;tt0077588;6.4;24000000;5500000;18500000
The Garden of God;Return to the Blue Lagoon;tt0102782;5.0;2807854;11000000;-8192146
Get Shorty;Get Shorty;tt0113161;6.9;115101622;30250000;84851622
The Getaway (Jim Thompson);The Getaway;tt0068638;7.5;58831997;3352254;55479743
The Ghost (Robert Harris);The Ghost Writer;tt1139328;7.2;73741549;45000000;28741549
Giant (Edna Ferber);Giant;tt0049261;7.7;35000000;5400000;29600000
The Gingerbread Man (John Grisham);The Gingerbread Man;tt0119196;5.7;1534569;25000000;-23465431
The Glass Inferno;The Towering Inferno;tt0072308;6.9;139700000;14000000;125700000
The Godfather (Mario Puzo);The Godfather;tt0068646;9.2;245066411;6000000;239066411
Gods and Generals;Gettysburg;tt0107007;7.7;10769960;25000000;-14230040
The Golden Bowl;The Golden Bowl;tt0200669;5.9;3037579;15000000;-11962421
Goldfinger;Goldfinger;tt0058150;7.8;124900000;3000000;121900000
Gone with the Wind;Gone with the Wind;tt0031381;8.2;400176459;3977000;396199459
The Good German;The Good German;tt0452624;6.1;5914908;32000000;-26085092
A Good Year (Peter Mayle);A Good Year;tt0401445;6.9;7458269;35000000;-27541731
Goodbye Piccadilly, Farewell Leicester Square;Frenzy;tt0068611;7.5;16000000;2000000;14000000
Great Expectations;Great Expectations;tt0119223;6.8;55494066;25000000;30494066
The Great Gatsby;The Great Gatsby;tt1343092;7.3;351040419;105000000;246040419
The Great Train Robbery;The First Great Train Robbery;tt0079240;7.0;13027857;6000000;7027857
The Green Mile;The Green Mile;tt0120689;8.5;286801374;60000000;226801374
Gulliver's Travels;Gulliver's Travels;tt1320261;4.9;237382724;112000000;125382724
The Guns of Navarone;The Guns of Navarone;tt0054953;7.6;28900000;6000000;22900000
Hannibal (Thomas Harris);Hannibal;tt0212985;6.7;351692268;87000000;264692268
Harry Potter;Harry Potter and the Sorcerer's Stone;tt0241527;7.5;974755371;125000000;849755371
Harry Potter and the Philosopher's Stone;Harry Potter and the Sorcerer's Stone;tt0241527;7.5;974755371;125000000;849755371
Harry Potter and the Chamber of Secrets;Harry Potter and the Chamber of Secrets;tt0295297;7.4;878979634;100000000;778979634
Harry Potter and the Prisoner of Azkaban;Harry Potter and the Prisoner of Azkaban;tt0304141;7.8;796688549;130000000;666688549
Harry Potter and the Goblet of Fire;Harry Potter and the Goblet of Fire;tt0330373;7.6;896911078;150000000;746911078
Harry Potter and the Order of the Phoenix;Harry Potter and the Order of the Phoenix;tt0373889;7.5;939885929;150000000;789885929
Harry Potter and the Half-Blood Prince;Harry Potter and the Half-Blood Prince;tt0417741;7.5;934416487;250000000;684416487
Harry Potter and the Deathly Hallows;Harry Potter and the Deathly Hallows: Part 2;tt1201607;8.1;1341511219;125000000;1216511219
Hart's War;Hart's War;tt0251114;6.3;32286000;60000000;-27714000
The Haunting of Hill House;The Haunting;tt0057129;7.6;2616000;1400000;1216000
Hawaii (James A. Michener);Hawaii;tt0060491;6.5;34562222;15000000;19562222
Headhunters (Jules Bass);Monte Carlo;tt1067774;5.8;39667665;20000000;19667665
The Hellbound Heart;Hellraiser;tt0093177;7.1;14564027;1000000;13564027
The Help (Kathryn Stockett);The Help;tt1454029;8.1;216639112;25000000;191639112
High Fidelity;High Fidelity;tt0146882;7.6;27277055;20000000;7277055
A History of Violence;A History of Violence;tt0399146;7.5;31493782;32000000;-506218
The Hitchhiker's Guide to the Galaxy;The Hitchhiker's Guide to the Galaxy;tt0371724;6.8;104478416;50000000;54478416
The Hobbit;The Hobbit: An Unexpected Journey;tt0903624;7.9;1021103568;180000000;841103568
The Honorary Consul;The Honorary Consul;tt0085236;5.7;5997566;11800000;-5802434
The Host (Stephenie Meyer);The Host;tt1517260;5.9;63327201;40000000;23327201
The Hours (Michael Cunningham);The Hours;tt0274558;7.6;108846072;25000000;83846072
How Green Was My Valley;How Green Was My Valley;tt0033729;7.8;6000000;1250000;4750000
The Howling;The Howling;tt0082533;6.6;17986000;1000000;16986000
The Human Stain;The Human Stain;tt0308383;6.3;24863804;30000000;-5136196
The Hundred and One Dalmatians;One Hundred and One Dalmatians;tt0055254;7.2;215880014;4000000;211880014
The Hunger Games;The Hunger Games;tt1392170;7.3;694394724;78000000;616394724
Mockingjay;Mockingjay - Part 1;tt1951265;6.8;755356711;125000000;630356711
The Hunt for Red October;The Hunt for Red October;tt0099810;7.6;200512643;30000000;170512643
I Am Legend;I Am Legend;tt0480249;7.2;585349010;150000000;435349010
I Am Number Four;I Am Number Four;tt1464540;6.1;149878437;50000000;99878437
